Word  Positive  Negative  FactOriented,NoEmotion,Anger,Disgust,Fear,Joy,Sad,Rational,Emotional,Self,Action,Info
W         P         N         F            N       A       D     F    J   S    R         E       S    A     I
abolish,          ;99 F,    N,      A,      43,   0,   0,         100,  E,      S,        68,I
abortion,         ;59,       N,        F,    N,      A,      D,    F,  94,  S,   R,84,97,A,I
absence,P,83,F,N,A,D,F,J,S,77,E,S,A,I
absent,P,82,77,N,A,D,F,J,89,97,E,S,A,I
absorb,81,N,F,N,A,D,F,40,S,92,E,S,A,I
correspondence,P,N,F,N,A,D,F,J,S,R,E,S,A,I
straightforward,P,N,F,N,A,D,F,J,S,R,E,S,A,I
W,P,N,F,N,A,D,F,J,S,R,E,S,A,I
W,P,N,F,N,A,D,F,J,S,R,E,S,A,I
W,P,N,F,N,A,D,F,J,S,R,E,S,A,I
W,P,N,F,N,A,D,F,J,S,R,E,S,A,I
W,P,N,F,N,A,D,F,J,S,R,E,S,A,I
W,P,N,F,N,A,D,F,J,S,R,E,S,A,I
W,P,N,F,N,A,D,F,J,S,R,E,S,A,I
W,P,N,F,N,A,D,F,J,S,R,E,S,A,I
W,P,N,F,N,A,D,F,J,S,R,E,S,A,I
W,P,N,F,N,A,D,F,J,S,R,E,S,A,I
W,P,N,F,N,A,D,F,J,S,R,E,S,A,I
W,P,N,F,N,A,D,F,J,S,R,E,S,A,I
W,P,N,F,N,A,D,F,J,S,R,E,S,A,I
W,P,N,F,N,A,D,F,J,S,R,E,S,A,I
W,P,N,F,N,A,D,F,J,S,R,E,S,A,I
W,P,N,F,N,A,D,F,J,S,R,E,S,A,I
W,P,N,F,N,A,D,F,J,S,R,E,S,A,I
W,P,N,F,N,A,D,F,J,S,R,E,S,A,I
W,P,N,F,N,A,D,F,J,S,R,E,S,A,I
W,P,N,F,N,A,D,F,J,S,R,E,S,A,I
W,P,N,F,N,A,D,F,J,S,R,E,S,A,I
W,P,N,F,N,A,D,F,J,S,R,E,S,A,I
W,P,N,F,N,A,D,F,J,S,R,E,S,A,I
W,P,N,F,N,A,D,F,J,S,R,E,S,A,I
W,P,N,F,N,A,D,F,J,S,R,E,S,A,I
W,P,N,F,N,A,D,F,J,S,R,E,S,A,I
W,P,N,F,N,A,D,F,J,S,R,E,S,A,I
W,P,N,F,N,A,D,F,J,S,R,E,S,A,I
W,P,N,F,N,A,D,F,J,S,R,E,S,A,I
W,P,N,F,N,A,D,F,J,S,R,E,S,A,I
W,P,N,F,N,A,D,F,J,S,R,E,S,A,I
W,P,N,F,N,A,D,F,J,S,R,E,S,A,I
W,P,N,F,N,A,D,F,J,S,R,E,S,A,I
W,P,N,F,N,A,D,F,J,S,R,E,S,A,I
W,P,N,F,N,A,D,F,J,S,R,E,S,A,I
W,P,N,F,N,A,D,F,J,S,R,E,S,A,I
W,P,N,F,N,A,D,F,J,S,R,E,S,A,I
W,P,N,F,N,A,D,F,J,S,R,E,S,A,I
W,P,N,F,N,A,D,F,J,S,R,E,S,A,I
W,P,N,F,N,A,D,F,J,S,R,E,S,A,I
W,P,N,F,N,A,D,F,J,S,R,E,S,A,I
W,P,N,F,N,A,D,F,J,S,R,E,S,A,I
